class,compound,E0-1,E0-2,E0-3,E4-1,E4-2,E4-3,E8-1,E8-2,E8-3,E12-1,E12-2,E12-3,E16-1,E16-2,E16-3,E24-1,E24-2,E24-3
Amino Acid,4-hydroxyproline,0.003800207,0.003620277,0.003816693,0.002808292,0.002738223,0.001651821,0.002693986,0.002030236,0.00239811,0.002158968,0.002334288,0.002215326,0.003025258,0.002664908,0.002748482,0.002876871,0.005356509,0.004496816
Amino Acid,Alanine,0.451488144,0.443556278,0.410058938,0.402815416,0.397262143,0.206394945,0.620647449,0.6389858,0.411252152,1.050546655,1.124560702,1.042453616,2.210642007,1.880796056,1.56571434,1.485336643,1.944260791,2.452411803
Amino Acid,AABA,0.003972405,0.003855093,0.003998687,0.002700219,0.002947396,0.001098259,0.003743179,0.003058399,0.002500389,0.006788918,0.006431381,0.005025296,0.010446739,0.010854884,0.011047013,0.010039296,0.019859519,0.015153859
Amino Acid,Asparagine,0.09666121,0.119350048,0.098765281,0.075313537,0.051959966,0.036386094,0.023839626,0.020172491,0.032964595,0.01760554,0.020942935,0.016796885,0.01119183,0.014360898,0.014939445,0.011683981,0.015437186,0.015996476
Amino Acid,Aspartate,0.80846696,0.840672959,0.77257106,0.426394337,0.456354562,0.281250252,0.409689205,0.306157079,0.469177442,0.344491896,0.25962876,0.235519636,0.166256005,0.236931688,0.270360309,0.189660578,0.404835309,0.205477703
Amino Acid,beta-Alanine,0.004128794,0.003023186,0.003486883,0.001984377,0.002040511,0.000841925,0.002712479,0.002342115,0.002465059,0.007376582,0.004091863,0.003408078,0.011879411,0.011012678,0.008859653,0.010553076,0.031957528,0.022552947
Amino Acid,beta-aminoisobutyrate,0.000265157,0.000224782,0.000228817,0.000243088,0.000328635,0.000199061,0.000456363,0.00024059,0.000193521,0.00041535,0.000521733,0.000630508,0.000803255,0.0007731,0.001654381,0.002314081,0.002490863,0.000834201
Amino Acid,Cyanoalanine,0.00849201,0.010439495,0.008678652,0.005344158,0.004948001,0.003641026,0.002881626,0.003131395,0.002791034,0.002225278,0.002131488,0.001708657,0.001208187,0.002011185,0.001315419,0.001539336,0.001194389,0.001501218
Amino Acid,Citrulline,0.00694932,0.008986075,0.006484806,0.004823287,0.004052526,0.001819131,0.003529668,0.003177745,0.003422251,0.004050269,0.005031665,0.003927245,0.009176998,0.007237337,0.007200351,0.007828307,0.01490853,0.012694924
Amino Acid,Cystein,0.004440848,0.004102352,0.003488991,0.004882647,0.005120765,0.00242605,0.009077029,0.007496533,0.004353134,0.014767035,0.011485856,0.011772563,0.035646113,0.025554794,0.014348118,0.024241853,0.039108426,0.036719652
Amino Acid,GABA,0.013801218,0.008822827,0.008112932,0.024351229,0.022272407,0.009016771,0.031589431,0.023282822,0.020274549,0.070166688,0.062720828,0.051750101,0.239722346,0.150405145,0.123236448,0.187443421,0.39588332,0.295731806
Amino Acid,Glutamate,0.324585186,0.366909983,0.289802512,0.300316261,0.254307257,0.129376567,0.294246502,0.248452265,0.251139762,0.352293276,0.355536155,0.30434651,0.388020955,0.389532475,0.436705304,0.288634269,0.529471091,0.408561973
Amino Acid,Glutamine,0.025939147,0.030348081,0.02519064,0.093893217,0.089979336,0.047360473,0.061763974,0.047354368,0.067299456,0.073362709,0.054813266,0.046195469,0.039423938,0.060344737,0.071021111,0.042697654,0.094564086,0.050088137
Amino Acid,Glycine,0.004561818,0.004335645,0.004129047,0.002866004,0.002938162,0.001371206,0.003814557,0.003337684,0.002635974,0.007650016,0.005526173,0.005166464,0.011380829,0.008431476,0.007450757,0.006489857,0.010531067,0.009819311
Amino Acid,Histidine,0.009041723,0.009966351,0.007989965,0.007802677,0.005832284,0.00271947,0.006343479,0.006564521,0.006187047,0.010035052,0.010361324,0.009106408,0.025123608,0.020593339,0.021376053,0.022452055,0.047608122,0.034107009
