locus,protein,t_test,emb_protein_log2fc
LOC_Os08g03410,LOC_Os08g03410.1,0,-4.94
LOC_Os04g17100,LOC_Os04g17100.1,0,-3.82
LOC_Os11g32890,LOC_Os11g32890.1,0,-3.74
LOC_Os07g48030,LOC_Os07g48030.1,0.01,-3.54
LOC_Os05g15770,LOC_Os05g15770.1,0.02,-3.2
LOC_Os01g12580,LOC_Os01g12580.1,0,-3.17
LOC_Os01g12660,LOC_Os01g12660.1,0,-3.01
LOC_Os03g06360,LOC_Os03g06360.1,0.01,-2.9
LOC_Os02g04780,LOC_Os02g04780.1,0.01,-2.73
LOC_Os01g02120,LOC_Os01g02120.1,0.02,-2.69
LOC_Os03g06180,LOC_Os03g06180.1,0.02,-2.49
LOC_Os04g40540,LOC_Os04g40540.1,0.03,-2.48
LOC_Os01g09570,LOC_Os01g09570.1,0,-2.47
LOC_Os11g06750,LOC_Os11g06750.1,0.04,-2.43
LOC_Os05g23620,LOC_Os05g23620.1,0.01,-2.39
LOC_Os03g11050,LOC_Os03g11050.1,0.01,-2.34
LOC_Os12g05210,LOC_Os12g05210.1,0.02,-2.17
LOC_Os04g28420,LOC_Os04g28420.1,0.04,-2.15
LOC_Os01g57450,LOC_Os01g57450.1,0,-2.15
LOC_Os07g22600,LOC_Os07g22600.1,0,-2.09
LOC_Os01g03680,LOC_Os01g03680.1,0.03,-2.01
LOC_Os05g34150,LOC_Os05g34150.1,0.04,-1.97
LOC_Os02g08490,LOC_Os02g08490.1,0.01,-1.96
LOC_Os02g06410,LOC_Os02g06410.1,0,-1.92
LOC_Os01g16920,LOC_Os01g16920.1,0.01,-1.88
LOC_Os04g36750,LOC_Os04g36750.1,0.01,-1.88
LOC_Os05g51670,LOC_Os05g51670.1,0.01,-1.82
LOC_Os02g40514,LOC_Os02g40514.1,0.02,-1.69
LOC_Os08g01370,LOC_Os08g01370.1,0.04,-1.68
LOC_Os03g53620,LOC_Os03g53620.1,0.04,-1.68
LOC_Os04g05010,LOC_Os04g05010.1,0.03,-1.66
LOC_Os11g40530,LOC_Os11g40530.1,0,-1.65
LOC_Os09g08280,LOC_Os09g08280.1,0,-1.6
LOC_Os06g07160,LOC_Os06g07160.1,0.01,-1.54
LOC_Os03g53670,LOC_Os03g53670.1,0.01,-1.51
LOC_Os05g39250,LOC_Os05g39250.1,0.01,-1.5
LOC_Os11g37270,LOC_Os11g37270.1,0.04,-1.5
LOC_Os01g69080,LOC_Os01g69080.1,0.01,-1.43
LOC_Os03g04169,LOC_Os03g04169.1,0.02,-1.39
LOC_Os03g01190,LOC_Os03g01190.1,0.02,-1.38
LOC_Os03g57960,LOC_Os03g57960.1,0,-1.35
LOC_Os12g16410,LOC_Os12g16410.1,0.04,-1.35
LOC_Os12g41500,LOC_Os12g41500.1,0.02,-1.32
LOC_Os02g51710,LOC_Os02g51710.1,0.01,-1.32
LOC_Os06g23350,LOC_Os06g23350.1,0.01,-1.31
LOC_Os10g09850,LOC_Os10g09850.1,0,-1.29
LOC_Os10g36180,LOC_Os10g36180.1,0.01,-1.26
LOC_Os06g11180,LOC_Os06g11180.1,0.05,-1.24
LOC_Os02g29400,LOC_Os02g29400.1,0.01,-1.23
LOC_Os06g39712,LOC_Os06g39712.1,0.04,-1.22
LOC_Os03g49350,LOC_Os03g49350.1,0.02,-1.17
LOC_Os08g05830,LOC_Os08g05830.1,0.01,-1.16
LOC_Os04g56620,LOC_Os04g56620.1,0.05,-1.16
LOC_Os03g11910,LOC_Os03g11910.1,0.04,-1.16
LOC_Os03g45320,LOC_Os03g45320.1,0.03,-1.14
LOC_Os03g62590,LOC_Os03g62590.1,0,-1.12
LOC_Os11g02400,LOC_Os11g02400.1,0,-1.11
LOC_Os02g48660,LOC_Os02g48660.1,0.05,-1.1
LOC_Os01g16870,LOC_Os01g16870.1,0.01,-1.09
LOC_Os04g35490,LOC_Os04g35490.1,0.01,-1.09
LOC_Os03g02260,LOC_Os03g02260.1,0.03,-1.08
LOC_Os04g27860,LOC_Os04g27860.1,0.01,-1.08
LOC_Os12g41390,LOC_Os12g41390.1,0.01,-1.07
LOC_Os02g52290,LOC_Os02g52290.1,0.01,-1.07
LOC_Os04g01740,LOC_Os04g01740.1,0.03,-1.07
LOC_Os03g07800,LOC_Os03g07800.1,0.02,-1.05
LOC_Os08g06550,LOC_Os08g06550.1,0.02,-1.04
LOC_Os09g27420,LOC_Os09g27420.1,0.03,-1.04
LOC_Os06g08280,LOC_Os06g08280.1,0.03,-1.04
LOC_Os05g44340,LOC_Os05g44340.1,0.05,-1.02
LOC_Os03g59710,LOC_Os03g59710.1,0.02,-0.99
LOC_Os02g30310,LOC_Os02g30310.1,0.01,-0.99
LOC_Os03g46100,LOC_Os03g46100.1,0.01,-0.98
LOC_Os02g10310,LOC_Os02g10310.2,0.01,-0.98
LOC_Os10g19880,LOC_Os10g19880.1,0.02,-0.98
LOC_Os02g13990,LOC_Os02g13990.1,0.03,-0.98
LOC_Os08g03290,LOC_Os08g03290.1,0.04,-0.96
LOC_Os05g42230,LOC_Os05g42230.1,0.04,-0.94
LOC_Os10g28020,LOC_Os10g28020.3,0.04,-0.94
LOC_Os05g48510,LOC_Os05g48510.1,0.02,-0.93
LOC_Os08g36900,LOC_Os08g36900.1,0.01,-0.93
LOC_Os11g03780,LOC_Os11g03780.1,0.02,-0.93
LOC_Os12g33020,LOC_Os12g33020.1,0.02,-0.9
LOC_Os01g54030,LOC_Os01g54030.1,0.02,-0.88
LOC_Os02g11050,LOC_Os02g11050.1,0.04,-0.88
LOC_Os12g43630,LOC_Os12g43630.1,0.05,-0.88
LOC_Os01g02880,LOC_Os01g02880.1,0.03,-0.85
LOC_Os11g06880,LOC_Os11g06880.1,0.01,-0.84
LOC_Os04g36859,LOC_Os04g36859.1,0.01,-0.82
LOC_Os05g19970,LOC_Os05g19970.1,0.01,-0.8
LOC_Os02g10070,LOC_Os02g10070.1,0.05,-0.8
LOC_Os02g51620,LOC_Os02g51620.1,0.04,-0.8
LOC_Os11g24510,LOC_Os11g24510.1,0,-0.79
LOC_Os06g14740,LOC_Os06g14740.1,0.04,-0.79
LOC_Os01g02720,LOC_Os01g02720.1,0.01,-0.78
LOC_Os05g11550,LOC_Os05g11550.1,0.03,-0.78
LOC_Os06g06560,LOC_Os06g06560.1,0.03,-0.76
LOC_Os03g46770,LOC_Os03g46770.1,0,-0.73
LOC_Os01g05470,LOC_Os01g05470.1,0.05,-0.72
LOC_Os07g38270,LOC_Os07g38270.1,0.05,-0.72
LOC_Os05g48340,LOC_Os05g48340.1,0.02,-0.67
LOC_Os05g25310,LOC_Os05g25310.1,0.05,-0.6
LOC_Os02g15250,LOC_Os02g15250.1,0.04,-0.59
LOC_Os03g03770,LOC_Os03g03770.1,0.05,-0.58
LOC_Os08g06200,LOC_Os08g06200.1,0.03,-0.5
LOC_Os07g36600,LOC_Os07g36600.1,0.02,-0.47
LOC_Os06g07220,LOC_Os06g07220.1,0.03,-0.33
LOC_Os03g09210,LOC_Os03g09210.1,0.02,-0.3
LOC_Os04g56646,LOC_Os04g56646.1,0.04,-0.28
LOC_Os01g16910,LOC_Os01g16910.1,0.01,-0.26
LOC_Os05g24601,LOC_Os05g24601.1,0.02,0.39
LOC_Os10g34670,LOC_Os10g34670.1,0,0.4
LOC_Os02g13840,LOC_Os02g13840.1,0.02,0.4
LOC_Os06g23440,LOC_Os06g23440.1,0.03,0.44
LOC_Os07g36465,LOC_Os07g36465.1,0.04,0.44
LOC_Os05g06350,LOC_Os05g06350.1,0.03,0.47
LOC_Os01g09510,LOC_Os01g09510.1,0.05,0.47
LOC_Os05g48290,LOC_Os05g48290.3,0.01,0.48
LOC_Os09g08910,LOC_Os09g08910.1,0.03,0.48
LOC_Os03g04710,LOC_Os03g04710.1,0.05,0.48
LOC_Os06g19640,LOC_Os06g19640.1,0,0.5
LOC_Os01g53930,LOC_Os01g53930.1,0.02,0.57
LOC_Os05g48320,LOC_Os05g48320.1,0.02,0.57
LOC_Os01g49190,LOC_Os01g49190.1,0.04,0.58
LOC_Os10g25130,LOC_Os10g25130.1,0.04,0.59
LOC_Os06g46000,LOC_Os06g46000.1,0.04,0.62
LOC_Os01g18210,LOC_Os01g18210.1,0.03,0.67
LOC_Os10g08550,LOC_Os10g08550.1,0.01,0.67
LOC_Os11g43900,LOC_Os11g43900.1,0.01,0.68
LOC_Os02g13530,LOC_Os02g13530.1,0.01,0.7
LOC_Os01g60360,LOC_Os01g60360.1,0.05,0.72
LOC_Os11g05370,LOC_Os11g05370.1,0.03,0.74
LOC_Os01g59790,LOC_Os01g59790.1,0.05,0.75
LOC_Os03g50510,LOC_Os03g50510.1,0,0.76
LOC_Os04g58110,LOC_Os04g58110.1,0.02,0.79
LOC_Os03g01530,LOC_Os03g01530.1,0.01,0.81
LOC_Os03g52860,LOC_Os03g52860.1,0.01,0.83
LOC_Os04g09390,LOC_Os04g09390.1,0.02,0.83
LOC_Os01g60190,LOC_Os01g60190.1,0.01,0.84
LOC_Os04g40400,LOC_Os04g40400.1,0.04,0.85
LOC_Os06g37180,LOC_Os06g37180.1,0.02,0.86
LOC_Os02g07160,LOC_Os02g07160.1,0.05,0.87
LOC_Os09g29630,LOC_Os09g29630.1,0.04,0.91
LOC_Os02g55140,LOC_Os02g55140.1,0.01,0.92
LOC_Os03g15900,LOC_Os03g15900.2,0.04,0.92
LOC_Os10g42940,LOC_Os10g42940.1,0.01,0.98
LOC_Os07g38970,LOC_Os07g38970.1,0.04,0.99
LOC_Os08g25720,LOC_Os08g25720.1,0,0.99
LOC_Os02g40890,LOC_Os02g40890.1,0.03,0.99
LOC_Os06g13810,LOC_Os06g13810.1,0.03,1
LOC_Os09g33500,LOC_Os09g33500.1,0.03,1.01
LOC_Os03g05980,LOC_Os03g05980.1,0.04,1.01
LOC_Os02g01520,LOC_Os02g01520.1,0.04,1.03
LOC_Os02g37590,LOC_Os02g37590.1,0.04,1.03
LOC_Os10g33230,LOC_Os10g33230.1,0,1.04
LOC_Os05g51530,LOC_Os05g51530.1,0.05,1.04
LOC_Os07g42450,LOC_Os07g42450.1,0.01,1.05
LOC_Os01g18050,LOC_Os01g18050.1,0.01,1.08
LOC_Os03g01900,LOC_Os03g01900.1,0.04,1.08
