class,compound,A0-1,A0-2,A0-3,A4-1,A4-2,A4-3,A8-1,A8-2,A8-3,A12-1,A12-2,A12-3,A16-1,A16-2,A16-3,A24-1,A24-2,A24-3
Amino Acid,4-hydroxyproline,0.000365668,0.000233308,0.000287551,0.000166788,0.000310518,0.000241841,0.000187842,0.000239532,0.000306046,0.000238,0.000278994,0.000293124,0.000196018,0.000221048,0.000194748,0.000170159,0.000172043,0.000304033
Amino Acid,Alanine,0.018330108,0.014020259,0.016625516,0.020139345,0.015990892,0.015075909,0.021496692,0.011359949,0.012268605,0.012683503,0.018235274,0.012715592,0.021191572,0.025702583,0.015920567,0.0162992,0.024551624,0.022104725
Amino Acid,AABA,0.00017165,0.000001,0.000001,7.25E-05,0.000001,0.000001,0.000001,0.000001,0.000139648,5.72E-05,8.09E-05,0.000001,0.00018352,0.000001,0.00010471,0.000238602,0.000150952,0.00010637
Amino Acid,Asparagine,0.006747669,0.005269637,0.008394726,0.004284288,0.004322119,0.004961863,0.004041381,0.002839537,0.004930882,0.003867865,0.004114839,0.00343361,0.002652056,0.002195208,0.00301663,0.003091273,0.001774546,0.003104218
Amino Acid,Aspartate,0.029268177,0.022433739,0.025510083,0.017315099,0.017343483,0.020095539,0.014093516,0.017430253,0.0194085,0.01843014,0.016753664,0.017102421,0.016468693,0.021101409,0.020960622,0.020186658,0.017229076,0.019403404
Amino Acid,beta-alanine,0.000291128,0.000218703,0.000228066,0.000184901,0.000179614,0.000196175,0.000210589,0.000174671,0.000186993,0.00024743,0.00027883,0.000269809,0.000222296,0.000314272,0.000255919,0.000182769,0.0002775,0.000233251
Amino Acid,beta-aminoisobutyrate,1.40E-05,2.17E-05,3.69E-05,2.38E-05,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,2.17E-05,2.45E-05,0.000001,0.000001,0.000001,0.000001,3.12E-05,2.78E-05
Amino Acid,Cyanoalanine,0.002259554,0.001465036,0.001867768,0.001368042,0.000732917,0.0011893,0.001183358,0.002088725,0.001108826,0.001762319,0.000906691,0.000804484,0.000635743,0.001072493,0.000926791,0.001107003,0.000591563,0.000768647
Amino Acid,Citrulline,0.000179996,0.000141949,0.000147816,7.69E-05,0.000228325,0.000157875,0.00028014,8.50E-05,0.00023105,0.000101028,0.000223455,0.000190783,0.000159184,0.000148063,0.000140544,7.90E-05,0.000147496,0.000413476
Amino Acid,Cystein,0.000347874,0.000261061,0.000228184,0.000150477,0.000205052,0.000144377,0.000184037,0.00021296,0.00014948,0.000272517,0.000243263,0.000271933,0.000453942,0.000679528,0.000244813,0.000326844,0.000465625,0.000366211
Amino Acid,GABA,0.001180402,0.000994053,0.000899624,0.001602204,0.001188356,0.001390787,0.001311864,0.000788098,0.000853393,0.000631151,0.000917244,0.000716943,0.001062959,0.00193101,0.001032495,0.00094161,0.002825576,0.001598935
Amino Acid,Glutamate,0.009508586,0.006887688,0.007991875,0.004054049,0.00483323,0.005582544,0.005475118,0.004441012,0.00504447,0.005918135,0.006197998,0.005383007,0.006302679,0.009313594,0.006525966,0.008459594,0.008511664,0.008509384
Amino Acid,Glutamine,0.004767106,0.003935103,0.004641986,0.004931882,0.005560536,0.005072594,0.006159849,0.005708342,0.007317471,0.0067227,0.005346692,0.005780294,0.00375486,0.005246466,0.004559008,0.003621471,0.002495885,0.003995224
Amino Acid,Glycine,0.000479315,0.000197228,0.000287337,0.000277539,0.000243797,0.000184386,0.000272335,0.000529487,0.000253558,0.000193896,0.000199663,0.000197185,0.000259451,0.000268416,0.000230638,0.00014896,0.000315749,0.000272889
Amino Acid,Histidine,0.000143664,0.000156003,0.000151733,9.20E-05,0.000189929,0.000110835,0.000190103,9.09E-05,0.000192051,4.46E-05,0.000243052,0.000234162,0.000324505,0.000208359,0.000279521,0.000208089,0.000228908,0.000308378
Amino Acid,Isoleucine,0.003372669,0.002100051,0.002972697,0.001999241,0.002107162,0.001552195,0.001492748,0.002062767,0.001613905,0.001907801,0.001452114,0.001707448,0.001634139,0.002424488,0.001703522,0.002110433,0.00294263,0.002198978
Amino Acid,Leucine,0.003481664,0.002357402,0.002907299,0.002345402,0.002447892,0.002116299,0.002342416,0.002326909,0.002382545,0.002358566,0.002469834,0.002273245,0.003107536,0.003858132,0.002748149,0.003823682,0.006522211,0.004371718
Amino Acid,Lysine,0.000522474,0.000488553,0.00045286,0.000405764,0.000447709,0.000437878,0.000547237,0.000337915,0.000474899,0.000271089,0.000514993,0.000356364,0.000510928,0.00053582,0.000422969,0.000341788,0.000566634,0.000600845
Amino Acid,Methionine,0.001168614,0.000822537,0.000931346,0.000730162,0.000643296,0.000637216,0.000756394,0.000684135,0.000614423,0.000732878,0.000672644,0.000671708,0.000779547,0.00107363,0.000678722,0.00100054,0.001240709,0.000980521
Amino Acid,Norvaline,0.000166447,9.85E-05,0.00018704,9.80E-05,0.00012726,0.000112763,8.46E-05,9.81E-05,9.86E-05,0.000115947,0.000118505,9.53E-05,7.12E-05,9.42E-05,9.85E-05,0.000104784,8.13E-05,0.000101981
Amino Acid,Ornithine,0.000614246,0.000466795,0.000530277,0.000282091,0.000678443,0.000604909,0.000995562,0.000452202,0.000922326,0.000632449,0.00086919,0.000693564,0.000469782,0.000655514,0.000496194,0.000474106,0.000564876,0.001044663
Amino Acid,Phenylalanine,0.001050383,0.000759392,0.000989382,0.000734263,0.000875789,0.000649467,0.000769167,0.000706853,0.000867166,0.000791248,0.000734484,0.000784827,0.001007095,0.00109811,0.000895428,0.001426877,0.001560583,0.001253135
Amino Acid,Proline,0.008036756,0.006175595,0.008081708,0.00555012,0.012403449,0.008591422,0.011696852,0.004457607,0.009079587,0.004973118,0.008560689,0.008208793,0.006837068,0.007358854,0.007991067,0.005708441,0.007463767,0.01229121
Amino Acid,Pyroglutamate,0.045967212,0.036712783,0.040137593,0.02589917,0.026475012,0.029591628,0.027032086,0.027054426,0.027676867,0.032246174,0.029788006,0.027953616,0.029966438,0.050602283,0.034562798,0.03905181,0.036960829,0.035610617
Amino Acid,Serine,0.012056633,0.00835468,0.010131979,0.007762318,0.007256871,0.006916841,0.008098368,0.007979338,0.008105848,0.008041369,0.008562882,0.007742863,0.008558107,0.01036047,0.008102147,0.008044346,0.009636892,0.009308683
Amino Acid,Threonine,0.002454607,0.001682451,0.001945722,0.001449043,0.001384979,0.001493874,0.002014774,0.001615452,0.001955152,0.001822024,0.001706922,0.001725358,0.001721277,0.002416097,0.001765133,0.001745748,0.001891481,0.001957376
