locus,protein,endosperm_protein_log2fc
LOC_Os05g26750,LOC_Os05g26750.1,-1.65
LOC_Os03g06360,LOC_Os03g06360.1,-1.48
LOC_Os01g16920,LOC_Os01g16920.1,-1.48
LOC_Os06g23350,LOC_Os06g23350.1,-1.32
LOC_Os08g03520,LOC_Os08g03520.1,-1.26
LOC_Os05g35460,LOC_Os05g35460.1,-1.18
LOC_Os04g44560,LOC_Os04g44560.1,-1.1
LOC_Os01g12580,LOC_Os01g12580.1,-1.07
LOC_Os01g61920,LOC_Os01g61920.1,-1.02
LOC_Os03g12230,LOC_Os03g12230.1,-0.98
LOC_Os12g08170,LOC_Os12g08170.1,-0.92
LOC_Os01g59740,LOC_Os01g59740.1,-0.91
LOC_Os03g19890,LOC_Os03g19890.1,-0.91
LOC_Os07g04240,LOC_Os07g04240.1,-0.89
LOC_Os12g30540,LOC_Os12g30540.1,-0.88
LOC_Os06g15990,LOC_Os06g15990.1,-0.87
LOC_Os02g44520,LOC_Os02g44520.1,-0.87
LOC_Os03g18220,LOC_Os03g18220.1,-0.86
LOC_Os05g23740,LOC_Os05g23740.1,-0.86
LOC_Os03g48740,LOC_Os03g48740.1,-0.84
LOC_Os03g59050,LOC_Os03g59050.1,-0.82
LOC_Os08g03410,LOC_Os08g03410.1,-0.82
LOC_Os01g07810,LOC_Os01g07810.1,-0.81
LOC_Os05g48510,LOC_Os05g48510.1,-0.78
LOC_Os03g50480,LOC_Os03g50480.1,-0.78
LOC_Os02g10260,LOC_Os02g10260.1,-0.76
LOC_Os04g52110,LOC_Os04g52110.1,-0.75
LOC_Os12g38900,LOC_Os12g38900.1,-0.74
LOC_Os08g42560,LOC_Os08g42560.1,-0.73
LOC_Os09g08910,LOC_Os09g08910.1,-0.7
LOC_Os03g16440,LOC_Os03g16440.1,-0.7
LOC_Os04g46200,LOC_Os04g46200.1,-0.7
LOC_Os11g34350,LOC_Os11g34350.1,-0.69
LOC_Os01g65380,LOC_Os01g65380.1,-0.69
LOC_Os09g07510,LOC_Os09g07510.1,-0.69
LOC_Os09g27420,LOC_Os09g27420.1,-0.68
LOC_Os02g53420,LOC_Os02g53420.1,-0.68
LOC_Os11g38670,LOC_Os11g38670.1,-0.67
LOC_Os02g54340,LOC_Os02g54340.1,-0.67
LOC_Os04g32650,LOC_Os04g32650.1,-0.67
LOC_Os07g46370,LOC_Os07g46370.1,-0.67
LOC_Os09g02700,LOC_Os09g02700.1,-0.67
LOC_Os04g36700,LOC_Os04g36700.1,-0.66
LOC_Os04g55720,LOC_Os04g55720.1,-0.66
LOC_Os02g01010,LOC_Os02g01010.1,-0.66
LOC_Os01g57450,LOC_Os01g57450.1,-0.64
LOC_Os05g34310,LOC_Os05g34310.1,-0.64
LOC_Os02g46130,LOC_Os02g46130.1,-0.63
LOC_Os03g08450,LOC_Os03g08450.1,-0.63
LOC_Os04g38900,LOC_Os04g38900.1,-0.62
LOC_Os02g37862,LOC_Os02g37862.1,-0.62
LOC_Os01g08350,LOC_Os01g08350.1,-0.62
LOC_Os04g58580,LOC_Os04g58580.1,-0.61
LOC_Os01g69080,LOC_Os01g69080.1,-0.61
LOC_Os02g15250,LOC_Os02g15250.1,-0.61
LOC_Os03g31750,LOC_Os03g31750.1,-0.61
LOC_Os11g14950,LOC_Os11g14950.1,-0.6
LOC_Os04g32330,LOC_Os04g32330.1,-0.6
LOC_Os04g56580,LOC_Os04g56580.1,-0.6
LOC_Os01g34700,LOC_Os01g34700.1,-0.59
LOC_Os03g06220,LOC_Os03g06220.1,-0.59
LOC_Os05g45950,LOC_Os05g45950.1,-0.58
LOC_Os03g10110,LOC_Os03g10110.1,-0.58
LOC_Os05g05470,LOC_Os05g05470.1,-0.57
LOC_Os02g55140,LOC_Os02g55140.1,-0.57
LOC_Os01g54030,LOC_Os01g54030.1,-0.57
LOC_Os03g29240,LOC_Os03g29240.1,-0.56
LOC_Os01g46380,LOC_Os01g46380.1,-0.56
LOC_Os05g26720,LOC_Os05g26720.1,-0.56
LOC_Os07g43390,LOC_Os07g43390.1,-0.56
LOC_Os03g57960,LOC_Os03g57960.1,-0.55
LOC_Os01g08200,LOC_Os01g08200.1,-0.54
LOC_Os02g02410,LOC_Os02g02410.1,-0.54
LOC_Os09g33986,LOC_Os09g33986.1,-0.54
LOC_Os06g22060,LOC_Os06g22060.1,-0.53
LOC_Os04g35180,LOC_Os04g35180.1,-0.53
LOC_Os07g28480,LOC_Os07g28480.1,-0.52
LOC_Os12g13320,LOC_Os12g13320.1,-0.51
LOC_Os06g48750,LOC_Os06g48750.1,-0.51
LOC_Os02g42290,LOC_Os02g42290.1,-0.51
LOC_Os10g25130,LOC_Os10g25130.1,-0.5
LOC_Os09g27830,LOC_Os09g27830.1,-0.49
LOC_Os08g25734,LOC_Os08g25734.2,-0.48
LOC_Os04g20220,LOC_Os04g20220.1,-0.47
LOC_Os12g41500,LOC_Os12g41500.1,-0.47
LOC_Os06g27910,LOC_Os06g27910.1,-0.47
LOC_Os06g01500,LOC_Os06g01500.1,-0.46
LOC_Os09g38030,LOC_Os09g38030.1,-0.45
LOC_Os03g21790,LOC_Os03g21790.1,-0.41
LOC_Os04g01590,LOC_Os04g01590.1,-0.4
LOC_Os10g08550,LOC_Os10g08550.1,-0.38
LOC_Os03g46100,LOC_Os03g46100.1,-0.36
LOC_Os04g46960,LOC_Os04g46960.1,-0.35
LOC_Os01g49190,LOC_Os01g49190.1,-0.3
LOC_Os03g31360,LOC_Os03g31360.1,0.21
LOC_Os03g03810,LOC_Os03g03810.1,0.61
LOC_Os05g42230,LOC_Os05g42230.1,-0.71
LOC_Os01g05490,LOC_Os01g05490.1,-0.6
LOC_Os10g11140,LOC_Os10g11140.1,-0.64
LOC_Os01g66720,LOC_Os01g66720.1,-1.36
LOC_Os02g32860,LOC_Os02g32860.1,-1.44
LOC_Os10g42100,LOC_Os10g42100.1,-0.66
LOC_Os07g09060,LOC_Os07g09060.1,-0.49
LOC_Os07g42490,LOC_Os07g42490.1,-0.41
LOC_Os06g02510,LOC_Os06g02510.1,-0.62
LOC_Os07g39870,LOC_Os07g39870.1,-0.44
LOC_Os03g62590,LOC_Os03g62590.1,-0.57
LOC_Os10g30210,LOC_Os10g30210.1,-0.97
LOC_Os03g50540,LOC_Os03g50540.1,-0.83
LOC_Os05g34770,LOC_Os05g34770.1,-0.93
LOC_Os03g52840,LOC_Os03g52840.1,-0.67
LOC_Os04g42580,LOC_Os04g42580.1,-0.44
LOC_Os03g50290,LOC_Os03g50290.1,-0.55
LOC_Os03g19410,LOC_Os03g19410.1,-0.58
LOC_Os02g54254,LOC_Os02g54254.1,-0.45
LOC_Os02g30630,LOC_Os02g30630.1,-0.59
LOC_Os12g35570,LOC_Os12g35570.1,-0.59
LOC_Os03g37970,LOC_Os03g37970.1,-0.46
LOC_Os01g62290,LOC_Os01g62290.1,-0.45
LOC_Os03g08010,LOC_Os03g08010.1,-0.46
LOC_Os03g04410,LOC_Os03g04410.1,-0.54
LOC_Os05g37330,LOC_Os05g37330.1,0.51
LOC_Os03g18810,LOC_Os03g18810.1,-0.4
LOC_Os04g28180,LOC_Os04g28180.1,-0.47
LOC_Os11g47760,LOC_Os11g47760.1,-0.74
LOC_Os05g04870,LOC_Os05g04870.1,-0.36
LOC_Os01g38970,LOC_Os01g38970.1,-0.64
LOC_Os03g18454,LOC_Os03g18454.2,0.31
LOC_Os12g14070,LOC_Os12g14070.1,-0.87
LOC_Os02g03260,LOC_Os02g03260.1,-0.44
LOC_Os02g43020,LOC_Os02g43020.1,-0.51
LOC_Os01g27520,LOC_Os01g27520.1,-0.57
LOC_Os05g47980,LOC_Os05g47980.1,-0.36
LOC_Os04g48490,LOC_Os04g48490.1,-0.68
LOC_Os01g36930,LOC_Os01g36930.1,-0.91
LOC_Os09g39550,LOC_Os09g39550.1,-0.81
LOC_Os06g36400,LOC_Os06g36400.1,1.28
LOC_Os03g52460,LOC_Os03g52460.1,-0.56
LOC_Os07g11630,LOC_Os07g11630.1,0.41
LOC_Os01g50700,LOC_Os01g50700.1,-0.78
LOC_Os02g30310,LOC_Os02g30310.1,-0.53
LOC_Os03g38000,LOC_Os03g38000.1,-0.36
LOC_Os11g26570,LOC_Os11g26570.1,-1.71
LOC_Os05g01262,LOC_Os05g01262.1,-0.67
LOC_Os06g15360,LOC_Os06g15360.1,-0.49
LOC_Os03g60620,LOC_Os03g60620.1,-0.63
LOC_Os03g27320,LOC_Os03g27320.2,-0.55
LOC_Os04g52361,LOC_Os04g52361.1,-1.96
LOC_Os01g49890,LOC_Os01g49890.1,-0.4
LOC_Os01g67134,LOC_Os01g67134.1,0.21
LOC_Os06g34690,LOC_Os06g34690.1,-0.29
LOC_Os04g52450,LOC_Os04g52450.1,-0.74
