"probe","PC2","absPC2","locus","annotation"
"Os.20204.3.S1_a_at",-0.0149773438993563,0.0149773438993563,"LOC_Os02g12380","histone deacetylase, putative, expressed"
"Os.6723.1.S1_at",-0.01497517050638,0.01497517050638,"LOC_Os02g33330","expressed protein"
"Os.313.2.S2_at",-0.0149974665703667,0.0149974665703667,"LOC_Os02g49720","aldehyde dehydrogenase, putative, expressed"
"Os.2354.1.S1_at",-0.0151252360728116,0.0151252360728116,"LOC_Os02g54160","AP2 domain containing protein, expressed"
"Os.7624.1.S1_at",-0.0150073330415249,0.0150073330415249,"LOC_Os03g02390","mitochondrial import inner membrane translocase subunit Tim17, putative, expressed"
"Os.13910.1.S1_at",-0.0149790963822878,0.0149790963822878,"LOC_Os03g21210","endoglucanase, putative, expressed"
"Os.54281.1.S1_at",-0.014978187949188,0.014978187949188,"LOC_Os03g44810","expressed protein"
"Os.39872.1.A1_s_at",-0.0150236780909107,0.0150236780909107,"LOC_Os05g10620","no apical meristem protein, putative, expressed"
"Os.52872.1.S1_x_at",-0.0149822731392269,0.0149822731392269,"LOC_Os08g28840","hydrolase, NUDIX family, domain containing protein, expressed"
"Os.55623.1.S1_at",-0.0149736035256023,0.0149736035256023,"LOC_Os08g42570","plant protein of unknown function domain containing protein, expressed"
