protein,cluster,table,tissue
LOC_Os04g24140.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os05g07890.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os06g39240.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os03g57200.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os07g10570.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os03g04770.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os03g27800.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os01g55690.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os07g11310.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os09g08910.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os03g26860.1,Cluster_1,S2B_229mRNAs,embryo
LOC_Os06g13810.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g51600.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g19820.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g50620.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g36870.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g25720.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g55280.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g55890.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g01900.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g11990.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g22090.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os11g47820.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g23100.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g12820.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g05700.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g34930.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g29190.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os07g08430.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os07g01020.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g33400.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g55070.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g25130.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os12g33100.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g35580.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os07g38360.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g58110.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g14570.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g16960.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g50810.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g01390.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g55140.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g24601.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g43660.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g47930.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g48290.3,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g21910.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g52164.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g41480.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g01530.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g56160.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g40730.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g32814.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os07g10770.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g55060.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g73790.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g16980.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g38900.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g51170.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g58850.1,Cluster_2,S2B_229mRNAs,embryo
