"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.6771258635093e-15,29,1456,7.66184420418291,"Small molecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044281","4324263 4324593 4327493 4324844 4330034 4330673 4332424 4334049 4334101 4334169 4334188 4336202 4337178 4337406 4338007 4338154 4338879 4339846 4340142 4340643 4341252 4342162 4342571 4344497 4345338 4348080 4348450 4350054 4352344"
8.2390455908226e-13,21,832,9.70940601736973,"Carboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019752","4324263 4327493 4324844 4330034 4330673 4334049 4334101 4334169 4334188 4336202 4337178 4337406 4338007 4339846 4340142 4340643 4341252 4342162 4342571 4345338 4348450"
1.0747944384735e-12,21,861,9.38237608182533,"Oxoacid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043436","4324263 4327493 4324844 4330034 4330673 4334049 4334101 4334169 4334188 4336202 4337178 4337406 4338007 4339846 4340142 4340643 4341252 4342162 4342571 4345338 4348450"
1.57332260222617e-12,21,891,9.06647116324536,"Organic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006082","4324263 4327493 4324844 4330034 4330673 4334049 4334101 4334169 4334188 4336202 4337178 4337406 4338007 4339846 4340142 4340643 4341252 4342162 4342571 4345338 4348450"
3.54349219365835e-10,14,407,13.2321471031148,"Monocarboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0032787","4324263 4327493 4324844 4330034 4330673 4334049 4336202 4337178 4337406 4338007 4339846 4340643 4345338 4348450"
1.7416314372358e-08,10,208,18.4941066997519,"Purine ribonucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009150","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
2.36155426387563e-08,10,218,17.6457531814146,"Purine nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006163","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
2.76211380805729e-08,12,386,11.9588835032592,"Nucleobase-containing small molecule metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0055086","4324263 4324593 4327493 4330673 4334169 4337406 4338154 4338879 4340643 4345338 4348450 4352344"
3.50918948834664e-08,10,233,16.5097604873321,"Ribonucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009259","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
4.1456031325018e-08,10,240,16.0282258064516,"Ribose phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019693","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
4.1456031325018e-08,10,242,15.8957611303652,"Purine-containing compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0072521","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
5.11249380675736e-08,17,1022,6.39874376617638,"Carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0005975","4324263 4327493 4324842 4330673 4330832 4332424 4334116 4337406 4340643 4342699 4343910 4344497 4345338 4346052 4348080 4348471 4351214"
5.73486255922217e-08,7,78,34.5223325062035,"Purine nucleoside diphosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009135","4324263 4327493 4330673 4337406 4340643 4345338 4352344"
5.73486255922217e-08,7,78,34.5223325062035,"Purine ribonucleoside diphosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009179","4324263 4327493 4330673 4337406 4340643 4345338 4352344"
9.06142059453105e-08,7,84,32.0564516129032,"Ribonucleoside diphosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009185","4324263 4327493 4330673 4337406 4340643 4345338 4352344"
1.8493999615096e-07,10,294,13.0842659644503,"Nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009117","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
2.37119261700258e-07,7,98,27.4769585253456,"Pyruvate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006090","4324263 4327493 4330673 4337406 4338007 4340643 4345338"
2.43080698291511e-07,13,618,8.09191982461635,"Carbohydrate derivative metabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901135","4324263 4324593 4327493 4330673 4334169 4337406 4338154 4338879 4340643 4345338 4348080 4348450 4352344"
2.54082960349611e-07,10,310,12.4089490114464,"Nucleoside phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006753","4324263 4324593 4327493 4330673 4337406 4338879 4340643 4345338 4348450 4352344"
2.54082960349611e-07,7,102,26.399430740038,"Nucleoside diphosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009132","4324263 4327493 4330673 4337406 4340643 4345338 4352344"
2.54082960349611e-07,11,407,10.3966870095902,"Carboxylic acid biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0046394","4324844 4330034 4334049 4334101 4334169 4334188 4336202 4337178 4340142 4342571 4348450"
4.02208785390161e-07,20,1736,4.431767504088,"Catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009056","4326273 4324263 4327493 4324842 4330034 4330673 4330832 4331509 4332922 4334116 4335896 4337406 4337725 4339846 4340643 4341247 4344971 4345338 4345656 4350054"
4.02208785390161e-07,11,429,9.86352357320099,"Organic acid biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0016053","4324844 4330034 4334049 4334101 4334169 4334188 4336202 4337178 4340142 4342571 4348450"
8.75469963724049e-07,12,581,7.94514463383488,"Small molecule biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0044283","4324844 4330034 4334049 4334101 4334169 4334188 4336202 4337178 4340142 4342162 4342571 4348450"
1.01522592253294e-06,6,76,30.3692699490662,"Glycolytic process "," http://amigo.geneontology.org/amigo/term/GO:0006096","4324263 4327493 4330673 4337406 4340643 4345338"
1.01522592253294e-06,6,76,30.3692699490662,"ATP generation from ADP "," http://amigo.geneontology.org/amigo/term/GO:0006757","4324263 4327493 4330673 4337406 4340643 4345338"
1.01522592253294e-06,6,76,30.3692699490662,"ADP metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046031","4324263 4327493 4330673 4337406 4340643 4345338"
1.02788886276551e-06,9,280,12.3646313364055,"Carbohydrate catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016052","4324263 4327493 4324842 4330673 4330832 4334116 4337406 4340643 4345338"
1.02788886276551e-06,12,600,7.69354838709677,"Organophosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019637","4324263 4324593 4327493 4330673 4337406 4338879 4339489 4340643 4342162 4345338 4348450 4352344"
1.55467000264755e-06,6,83,27.8080062184221,"Nucleoside diphosphate phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006165","4324263 4327493 4330673 4337406 4340643 4345338"
