MSU7_id,protein,MSU7_annotation,t_test,log2ratio_E24vsE0
LOC_Os05g24601,LOC_Os05g24601.1,"coatomer subunit delta, putative, expressed",0.02,0.39
LOC_Os10g34670,LOC_Os10g34670.1,"prefoldin, putative, expressed",0.00,0.4
LOC_Os02g13840,LOC_Os02g13840.1,"citrate synthase, putative, expressed",0.02,0.4
LOC_Os06g23440,LOC_Os06g23440.1,"eukaryotic translation initiation factor 1A, putative, expressed",0.03,0.44
LOC_Os07g36465,LOC_Os07g36465.1,"vacuolar ATP synthase subunit H, putative, expressed",0.04,0.44
LOC_Os05g06350,LOC_Os05g06350.1,"importin subunit alpha, putative, expressed",0.03,0.47
LOC_Os01g09510,LOC_Os01g09510.1,"60S acidic ribosomal protein, putative, expressed",0.05,0.47
LOC_Os05g48290,LOC_Os05g48290.3,"T-complex protein, putative, expressed",0.01,0.48
LOC_Os09g08910,LOC_Os09g08910.1,"ATP synthase, putative, expressed",0.03,0.48
LOC_Os03g04710,LOC_Os03g04710.1,expressed protein,0.05,0.48
LOC_Os06g19640,LOC_Os06g19640.1,"39S ribosomal protein L46, mitochondrial precursor, putative, expressed",0.00,0.5
LOC_Os01g53930,LOC_Os01g53930.1,"hexokinase, putative, expressed",0.02,0.57
LOC_Os05g48320,LOC_Os05g48320.1,"60S ribosomal protein L37a, putative, expressed",0.02,0.57
LOC_Os01g49190,LOC_Os01g49190.1,"ATP synthase, putative, expressed",0.04,0.58
LOC_Os10g25130,LOC_Os10g25130.1,"aminotransferase, classes I and II, domain containing protein, expressed",0.04,0.59
LOC_Os06g46000,LOC_Os06g46000.1,"tubulin/FtsZ domain containing protein, putative, expressed",0.04,0.62
LOC_Os01g18210,LOC_Os01g18210.1,"peptidyl-prolyl cis-trans isomerase, putative, expressed",0.03,0.67
LOC_Os10g08550,LOC_Os10g08550.1,"enolase, putative, expressed",0.01,0.67
LOC_Os11g43900,LOC_Os11g43900.1,"translationally-controlled tumor protein, putative, expressed",0.01,0.68
LOC_Os02g13530,LOC_Os02g13530.1,"40S ribosomal protein S24, putative, expressed",0.01,0.7
LOC_Os01g60360,LOC_Os01g60360.1,"ubiquitin-conjugating enzyme, putative, expressed",0.05,0.72
LOC_Os11g05370,LOC_Os11g05370.1,"60S ribosomal protein L26-1, putative, expressed",0.03,0.74
LOC_Os01g59790,LOC_Os01g59790.1,"ADP-ribosylation factor, putative, expressed",0.05,0.75
LOC_Os03g50510,LOC_Os03g50510.1,"threonine dehydratase biosynthetic, chloroplast precursor, putative, expressed",0.00,0.76
LOC_Os04g58110,LOC_Os04g58110.1,"pyruvate kinase, putative, expressed",0.02,0.79
LOC_Os03g01530,LOC_Os03g01530.1,"tubulin/FtsZ domain containing protein, putative, expressed",0.01,0.81
