probe	locus
Os.24643.1.S1_at	LOC_Os01g01010
Os.33183.1.S1_at	LOC_Os01g01030
Os.27571.1.S1_at	LOC_Os01g01040
Os.27637.1.S1_at	LOC_Os01g01050
Os.4725.1.S1_at	LOC_Os01g01060
Os.26562.1.S1_at	LOC_Os01g01070
Os.46612.1.S1_x_at	LOC_Os01g01070
Os.21356.1.S1_at	LOC_Os01g01080
Os.13225.1.S2_at	LOC_Os01g01130
Os.45872.1.S1_at	LOC_Os01g01130
Os.15960.1.S1_a_at	LOC_Os01g01150
Os.15960.2.S1_at	LOC_Os01g01150
OsAffx.22949.1.S1_at	LOC_Os01g01150
Os.5648.1.S1_at	LOC_Os01g01160
Os.32622.1.S1_at	LOC_Os01g01170
Os.32622.2.S1_x_at	LOC_Os01g01170
Os.33296.1.S1_at	LOC_Os01g01190
Os.33296.1.S1_x_at	LOC_Os01g01190
Os.7527.1.S1_at	LOC_Os01g01280
Os.13236.1.S1_at	LOC_Os01g01295
Os.9865.1.S1_at	LOC_Os01g01302
Os.9865.2.S1_x_at	LOC_Os01g01302
Os.10818.1.S1_at	LOC_Os01g01307
Os.24886.1.S1_at	LOC_Os01g01312
Os.38378.1.S1_a_at	LOC_Os01g01340
Os.30812.1.S1_at	LOC_Os01g01350
Os.34674.1.S1_at	LOC_Os01g01360
Os.37244.1.S1_a_at	LOC_Os01g01369
Os.37244.1.S1_at	LOC_Os01g01369
OsAffx.1860.1.S1_at	LOC_Os01g01369
Os.53031.1.S1_at	LOC_Os01g01380
Os.799.1.S1_at	LOC_Os01g01390
Os.32481.1.S1_at	LOC_Os01g01420
Os.802.1.S1_at	LOC_Os01g01430
Os.12311.1.S1_at	LOC_Os01g01450
Os.12311.1.S1_x_at	LOC_Os01g01450
Os.37961.1.S1_s_at	LOC_Os01g01484
Os.810.1.S1_at	LOC_Os01g01510
Os.810.2.S1_x_at	LOC_Os01g01510
Os.810.3.S1_x_at	LOC_Os01g01510
Os.9784.1.S1_at	LOC_Os01g01520
Os.49344.1.S1_at	LOC_Os01g01570
Os.35606.1.S1_at	LOC_Os01g01610
Os.35606.2.S1_x_at	LOC_Os01g01610
Os.996.1.S1_at	LOC_Os01g01620
Os.37078.1.S1_at	LOC_Os01g01640
Os.32454.1.S1_at	LOC_Os01g01650
Os.1000.1.S1_at	LOC_Os01g01660
OsAffx.23032.1.S1_at	LOC_Os01g01670
Os.37016.1.A1_at	LOC_Os01g01680
Os.17083.1.S1_at	LOC_Os01g01689
Os.20521.1.S2_at	LOC_Os01g01700
Os.1005.1.S1_at	LOC_Os01g01710
Os.27278.1.S1_at	LOC_Os01g01720
Os.27278.1.S1_s_at	LOC_Os01g01720
Os.32421.1.A1_at	LOC_Os01g01720
Os.23182.1.S1_at	LOC_Os01g01740
Os.40425.1.A1_x_at	LOC_Os01g01740
Os.34815.1.S1_at	LOC_Os01g01780
Os.34815.2.S1_x_at	LOC_Os01g01780
Os.38048.1.S1_a_at	LOC_Os01g01790
Os.38048.2.S1_x_at	LOC_Os01g01790
Os.17349.1.S1_s_at	LOC_Os01g01800
Os.20415.1.S1_at	LOC_Os01g01800
Os.15541.1.S1_at	LOC_Os01g01830
Os.15541.2.S1_x_at	LOC_Os01g01830
Os.30044.1.S1_a_at	LOC_Os01g01870
Os.9464.1.A1_at	LOC_Os01g01890
OsAffx.23048.1.S1_x_at	LOC_Os01g01920
Os.37423.1.S1_at	LOC_Os01g01940
Os.6597.1.S1_at	LOC_Os01g01960
Os.6597.2.S1_x_at	LOC_Os01g01960
OsAffx.23086.1.S1_at	LOC_Os01g01970
OsAffx.23086.1.S1_s_at	LOC_Os01g01970
Os.1637.1.S1_at	LOC_Os01g02020
Os.11832.1.S1_at	LOC_Os01g02040
Os.49998.1.S1_at	LOC_Os01g02050
Os.12560.1.S1_s_at	LOC_Os01g02060
Os.1644.1.S1_at	LOC_Os01g02090
Os.35391.1.S1_at	LOC_Os01g02100
Os.35391.2.S1_x_at	LOC_Os01g02100
Os.30617.1.S1_at	LOC_Os01g02110
Os.29115.1.S1_at	LOC_Os01g02120
Os.1652.1.S1_at	LOC_Os01g02139
Os.1653.1.S1_at	LOC_Os01g02150
OsAffx.350.1.S1_s_at	LOC_Os01g02160
Os.53043.1.S1_at	LOC_Os01g02170
Os.53043.1.S1_x_at	LOC_Os01g02170
Os.37685.1.A1_at	LOC_Os01g02180
Os.1660.1.S1_at	LOC_Os01g02200
Os.1978.1.S1_at	LOC_Os01g02290
Os.27046.1.S1_at	LOC_Os01g02300
Os.27046.2.S1_x_at	LOC_Os01g02300
Os.34013.1.S1_at	LOC_Os01g02320
Os.37621.2.S1_at	LOC_Os01g02334
Os.37621.3.S1_at	LOC_Os01g02334
Os.40177.1.S1_at	LOC_Os01g02350
Os.45539.1.S1_at	LOC_Os01g02360
Os.1849.1.S1_at	LOC_Os01g02390
Os.1977.1.S1_a_at	LOC_Os01g02400
Os.50240.1.S1_at	LOC_Os01g02590
Os.35772.1.S1_at	LOC_Os01g02830
Os.45510.1.S1_at	LOC_Os01g02860
Os.15390.1.S1_s_at	LOC_Os01g02870
Os.1981.1.S1_at	LOC_Os01g02880
Os.45507.1.S1_at	LOC_Os01g02884
Os.52233.1.S1_at	LOC_Os01g02890
Os.1054.1.A1_at	LOC_Os01g02900
Os.34721.1.S1_at	LOC_Os01g02920
Os.32123.1.S1_at	LOC_Os01g02930
Os.11246.1.S1_at	LOC_Os01g02940
Os.32335.1.S1_at	LOC_Os01g02960
Os.1070.1.S1_at	LOC_Os01g03020
Os.38065.1.S1_at	LOC_Os01g03030
Os.1071.1.S1_at	LOC_Os01g03040
Os.54619.1.S1_at	LOC_Os01g03050
Os.12185.1.S1_at	LOC_Os01g03060
Os.28076.1.S1_at	LOC_Os01g03070
Os.28076.1.S2_at	LOC_Os01g03070
Os.56995.1.S1_at	LOC_Os01g03080
Os.49076.1.S1_at	LOC_Os01g03110
Os.55272.1.S1_at	LOC_Os01g03130
OsAffx.23070.1.S1_at	LOC_Os01g03130
Os.1182.1.S1_x_at	LOC_Os01g03144
Os.45486.1.S1_x_at	LOC_Os01g03144
Os.6520.1.S1_at	LOC_Os01g03160
Os.30032.1.S1_at	LOC_Os01g03180
Os.31540.1.S1_at	LOC_Os01g03190
Os.32459.1.S1_at	LOC_Os01g03310
Os.12713.1.S2_a_at	LOC_Os01g03320
Os.19472.1.S1_at	LOC_Os01g03330
Os.4653.1.S1_at	LOC_Os01g03340
Os.22594.1.S1_at	LOC_Os01g03390
OsAffx.23101.2.S1_at	LOC_Os01g03480
Os.962.1.S1_at	LOC_Os01g03490
Os.45460.1.S1_at	LOC_Os01g03500
Os.19834.1.S1_at	LOC_Os01g03510
Os.965.1.S1_at	LOC_Os01g03520
Os.965.2.S1_x_at	LOC_Os01g03520
Os.23181.1.S1_at	LOC_Os01g03530
Os.31788.1.S1_at	LOC_Os01g03630
Os.845.1.A1_at	LOC_Os01g03650
Os.845.2.A1_x_at	LOC_Os01g03650
Os.18008.1.S1_at	LOC_Os01g03660
Os.5045.1.S1_at	LOC_Os01g03680
Os.53501.1.S1_at	LOC_Os01g03690
Os.34778.1.S1_at	LOC_Os01g03710
Os.855.1.S1_at	LOC_Os01g03730
Os.53305.1.S1_at	LOC_Os01g03740
Os.40187.1.S1_at	LOC_Os01g03750
